"BLN","TGL","DHUHUR","ASHAR","MAGHRIB","ISYA","SUBUH","TERBIT","DHUHA"
8,27,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,28,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,29,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,30,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,31,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
9,1,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,2,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,3,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,4,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,5,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,6,30/12/1899 11:31:00,30/12/1899 14:47:00,30/12/1899 17:31:00,30/12/1899 18:39:00,30/12/1899 04:16:00,30/12/1899 05:25:00,30/12/1899 05:52:00
9,7,30/12/1899 11:31:00,30/12/1899 14:47:00,30/12/1899 17:31:00,30/12/1899 18:39:00,30/12/1899 04:16:00,30/12/1899 05:25:00,30/12/1899 05:52:00
9,8,30/12/1899 11:31:00,30/12/1899 14:47:00,30/12/1899 17:31:00,30/12/1899 18:39:00,30/12/1899 04:16:00,30/12/1899 05:25:00,30/12/1899 05:52:00
9,9,30/12/1899 11:31:00,30/12/1899 14:47:00,30/12/1899 17:31:00,30/12/1899 18:39:00,30/12/1899 04:16:00,30/12/1899 05:25:00,30/12/1899 05:52:00
1,1,30/12/1899 11:36:00,30/12/1899 15:00:00,30/12/1899 17:52:00,30/12/1899 19:06:00,30/12/1899 03:59:00,30/12/1899 05:17:00,30/12/1899 05:41:00
1,2,30/12/1899 11:36:00,30/12/1899 15:00:00,30/12/1899 17:52:00,30/12/1899 19:06:00,30/12/1899 03:59:00,30/12/1899 05:17:00,30/12/1899 05:41:00
1,3,30/12/1899 11:36:00,30/12/1899 15:00:00,30/12/1899 17:52:00,30/12/1899 19:06:00,30/12/1899 03:59:00,30/12/1899 05:17:00,30/12/1899 05:41:00
1,4,30/12/1899 11:36:00,30/12/1899 15:00:00,30/12/1899 17:52:00,30/12/1899 19:06:00,30/12/1899 03:59:00,30/12/1899 05:17:00,30/12/1899 05:41:00
1,5,30/12/1899 11:36:00,30/12/1899 15:00:00,30/12/1899 17:52:00,30/12/1899 19:06:00,30/12/1899 03:59:00,30/12/1899 05:17:00,30/12/1899 05:41:00
1,6,30/12/1899 11:39:00,30/12/1899 15:04:00,30/12/1899 17:55:00,30/12/1899 19:10:00,30/12/1899 04:01:00,30/12/1899 05:20:00,30/12/1899 05:44:00
1,7,30/12/1899 11:39:00,30/12/1899 15:04:00,30/12/1899 17:55:00,30/12/1899 19:10:00,30/12/1899 04:01:00,30/12/1899 05:20:00,30/12/1899 05:44:00
1,8,30/12/1899 11:39:00,30/12/1899 15:04:00,30/12/1899 17:55:00,30/12/1899 19:10:00,30/12/1899 04:01:00,30/12/1899 05:20:00,30/12/1899 05:44:00
1,9,30/12/1899 11:39:00,30/12/1899 15:04:00,30/12/1899 17:55:00,30/12/1899 19:10:00,30/12/1899 04:01:00,30/12/1899 05:20:00,30/12/1899 05:44:00
